warnings,steps,time,difference,activeCollisions,collisionStarts,characters,bodies,raycasts,clears,unblocks,explores,flees,pursues
1,36087,1681311938723,16,98,0,9,108,400,110,0,0,1,0
1,36088,1681311938739,16,98,4,9,108,400,42,0,0,1,0
1,36089,1681311938756,17,99,0,9,108,400,110,0,0,1,0
1,36090,1681311938772,16,99,3,9,108,400,42,0,0,1,0
1,36091,1681311938788,16,99,0,9,108,400,110,0,0,1,0
1,36092,1681311938804,16,98,4,9,108,400,42,0,0,1,0
1,36093,1681311938821,17,100,0,9,108,400,110,0,0,1,0
1,36094,1681311938837,16,100,2,9,108,400,45,0,0,1,0
1,36095,1681311938854,17,99,0,9,108,400,113,0,0,1,0
1,36096,1681311938872,18,99,1,9,108,400,109,0,0,1,0
1,36097,1681311938888,16,99,0,9,108,400,45,0,0,1,0
1,36098,1681311938904,16,99,2,9,108,400,118,0,0,1,0
1,36099,1681311938920,16,100,0,9,108,400,48,0,0,1,0
1,36100,1681311938936,16,100,1,9,108,400,118,0,0,1,0
1,36101,1681311938952,16,100,0,9,108,400,48,0,0,1,0
1,36102,1681311938968,16,100,1,9,108,400,112,0,0,1,0
1,36103,1681311938984,16,100,0,9,108,400,48,0,0,1,0
1,36104,1681311939001,17,100,1,9,108,400,112,0,0,1,0
1,36105,1681311939018,17,100,0,9,108,400,48,0,0,1,0
1,36106,1681311939034,16,100,1,9,108,400,112,0,0,1,0
1,36107,1681311939051,17,100,0,9,108,400,112,0,0,1,0
1,36108,1681311939067,16,100,1,9,108,400,48,0,0,1,0
1,36109,1681311939083,16,100,0,9,108,400,112,0,0,1,0
1,36110,1681311939099,16,100,2,9,108,400,48,0,0,1,0
1,36111,1681311939115,16,98,0,9,108,400,106,0,0,1,0
1,36112,1681311939132,17,98,3,9,108,400,48,0,0,1,0
1,36113,1681311939148,16,100,0,9,108,400,106,0,0,1,0
1,36114,1681311939164,16,99,1,9,108,400,263,0,0,1,0
1,36115,1681311939182,18,98,1,9,108,400,116,0,0,1,0
1,36116,1681311939198,16,99,1,9,108,400,58,0,0,1,0
1,36117,1681311939214,16,98,0,9,108,400,119,0,0,1,0
1,36118,1681311939230,16,98,1,9,108,400,58,0,0,1,0
1,36119,1681311939246,16,98,0,9,108,400,119,0,0,1,0
1,36120,1681311939264,18,97,2,9,108,400,119,0,0,1,0
1,36121,1681311939280,16,97,0,9,108,400,58,0,0,1,0
1,36122,1681311939296,16,97,2,9,108,400,119,0,0,1,0
1,36123,1681311939312,16,97,0,9,108,400,58,0,0,1,0
1,36124,1681311939328,16,97,2,9,108,400,119,0,0,1,0
1,36125,1681311939344,16,97,1,9,108,400,58,0,0,1,0
1,36126,1681311939360,16,98,1,9,108,400,119,0,0,1,0
1,36127,1681311939376,16,98,0,9,108,400,58,0,0,1,0
1,36128,1681311939393,17,97,1,9,108,400,119,0,0,1,0
1,36129,1681311939410,17,97,0,9,108,400,58,0,0,1,0
1,36130,1681311939426,16,97,2,9,108,400,119,0,0,1,0
1,36131,1681311939443,17,98,0,9,108,400,116,0,0,1,0
1,36132,1681311939459,16,97,1,9,108,400,58,0,0,1,0
1,36133,1681311939475,16,97,1,9,108,400,119,0,0,1,0
1,36134,1681311939491,16,98,2,9,108,400,58,0,0,1,0
1,36135,1681311939508,17,98,0,9,108,400,119,0,0,1,0
1,36136,1681311939524,16,98,2,9,108,400,58,0,0,1,0
1,36137,1681311939541,17,99,0,9,108,400,121,0,0,1,0
1,36138,1681311939558,17,99,1,9,108,400,58,0,0,1,0
1,36139,1681311939574,16,99,0,9,108,400,127,0,0,1,0
1,36140,1681311939590,16,99,2,9,108,400,67,0,1,1,0
1,36141,1681311939605,15,99,0,9,108,400,127,0,0,1,0
1,36142,1681311939622,17,99,1,9,108,400,58,0,0,1,0
1,36143,1681311939637,15,99,1,9,108,400,127,0,0,1,0
1,36144,1681311939653,16,100,1,9,108,400,58,0,0,1,0
1,36145,1681311939669,16,99,0,9,108,400,130,0,0,1,0
1,36146,1681311939685,16,98,2,9,108,400,58,0,0,1,0
1,36147,1681311939702,17,98,0,9,108,400,131,0,0,1,0
1,36148,1681311939719,17,98,2,9,108,400,131,0,0,1,0
1,36149,1681311939735,16,98,0,9,108,400,58,0,0,1,0
1,36150,1681311939752,17,98,3,9,108,400,124,0,0,1,0
1,36151,1681311939770,18,99,0,9,108,400,58,0,0,1,0
1,36152,1681311939785,15,99,2,9,108,400,124,0,0,1,0
1,36153,1681311939802,17,98,0,9,108,400,58,0,0,1,0
1,36154,1681311939818,16,98,2,9,108,400,124,0,0,1,0
1,36155,1681311939834,16,98,0,9,108,400,58,0,0,1,0
1,36156,1681311939850,16,98,3,9,108,400,124,0,0,1,0
1,36157,1681311939866,16,98,0,9,108,400,58,0,0,1,0
1,36158,1681311939882,16,98,2,9,108,400,124,0,0,1,0
1,36159,1681311939898,16,99,0,9,108,400,58,0,0,1,0
1,36160,1681311939914,16,98,1,9,108,400,124,0,0,1,0
1,36161,1681311939932,18,98,1,9,108,400,121,0,0,1,0
1,36162,1681311939948,16,99,1,9,108,400,58,0,0,1,0
1,36163,1681311939965,17,99,0,9,108,400,121,0,0,1,0
1,36164,1681311939981,16,99,1,9,108,400,58,0,0,1,0
1,36165,1681311939997,16,99,0,9,108,400,133,0,1,1,0
1,36166,1681311940013,16,99,1,9,108,400,58,0,0,1,0
1,36167,1681311940029,16,98,0,9,108,400,124,0,0,1,0
1,36168,1681311940045,16,98,2,9,108,400,58,0,0,1,0
1,36169,1681311940061,16,99,0,9,108,400,124,0,0,1,0
1,36170,1681311940078,17,98,1,9,108,400,58,0,0,1,0
1,36171,1681311940094,16,98,0,9,108,400,124,0,0,1,0
1,36172,1681311940110,16,98,1,9,108,400,58,0,0,1,0
1,36173,1681311940126,16,98,1,9,108,400,124,0,0,1,0
1,36174,1681311940144,18,99,1,9,108,400,124,0,0,1,0
1,36175,1681311940159,15,99,0,9,108,400,58,0,0,1,0
1,36176,1681311940175,16,99,1,9,108,400,130,0,0,1,0
1,36177,1681311940191,16,99,0,9,108,400,58,0,0,1,0
1,36178,1681311940207,16,98,1,9,108,400,127,0,0,1,0
1,36179,1681311940224,17,98,1,9,108,400,52,0,0,1,0
1,36180,1681311940240,16,99,2,9,108,400,127,0,0,1,0
1,36181,1681311940257,17,99,0,9,108,400,52,0,0,1,0
1,36182,1681311940274,17,99,2,9,108,400,127,0,0,1,0
1,36183,1681311940290,16,99,0,9,108,400,52,0,0,1,0
1,36184,1681311940307,17,99,2,9,108,400,127,0,0,1,0
1,36185,1681311940324,17,99,2,9,108,400,127,0,0,1,0
1,36186,1681311940340,16,99,2,9,108,400,52,0,0,1,0
1,36187,1681311940357,17,98,0,9,108,400,127,0,0,1,0
1,36188,1681311940373,16,98,1,9,108,400,52,0,0,1,0
1,36189,1681311940389,16,98,0,9,108,400,130,0,0,1,0
1,36190,1681311940406,17,98,1,9,108,400,55,0,0,1,0
1,36191,1681311940422,16,98,0,9,108,400,150,0,1,1,0
1,36192,1681311940438,16,98,1,9,108,400,55,0,0,1,0
1,36193,1681311940454,16,97,0,9,108,400,130,0,0,1,0
1,36194,1681311940470,16,96,1,9,108,400,55,0,0,1,0
1,36195,1681311940486,16,96,0,9,108,400,127,0,0,1,0
1,36196,1681311940505,19,96,1,9,108,400,127,0,0,1,0
1,36197,1681311940521,16,96,0,9,108,400,55,0,0,1,0
1,36198,1681311940538,17,96,2,9,108,400,130,0,0,1,0
1,36199,1681311940553,15,94,2,9,108,400,55,0,0,1,0
1,36200,1681311940569,16,96,3,9,108,400,130,0,0,1,0
1,36201,1681311940585,16,98,0,9,108,400,55,0,0,1,0
1,36202,1681311940602,17,98,1,9,108,400,130,0,0,1,0
1,36203,1681311940617,15,98,1,9,108,400,56,0,0,1,0
1,36204,1681311940633,16,99,1,9,108,400,131,0,0,1,0
1,36205,1681311940649,16,99,2,9,108,400,56,0,0,1,0
1,36206,1681311940666,17,101,1,9,108,400,132,0,0,1,0
1,36207,1681311940682,16,101,0,9,108,400,57,0,0,1,0
1,36208,1681311940698,16,100,2,9,108,400,135,0,0,1,0
1,36209,1681311940716,18,100,0,9,108,400,141,0,0,1,0
1,36210,1681311940732,16,100,2,9,108,400,57,0,0,1,0
1,36211,1681311940748,16,100,0,9,108,400,141,0,0,1,0
1,36212,1681311940764,16,100,2,9,108,400,57,0,0,1,0
1,36213,1681311940780,16,100,0,9,108,400,144,0,0,1,0
1,36214,1681311940796,16,100,3,9,108,400,57,0,0,1,0
1,36215,1681311940812,16,101,0,9,108,400,144,0,0,1,0
1,36216,1681311940828,16,101,2,9,108,400,57,0,0,1,0
1,36217,1681311940844,16,101,0,9,108,400,147,0,0,1,0
1,36218,1681311940862,18,101,3,9,108,400,57,0,0,1,0
1,36219,1681311940877,15,100,0,9,108,400,150,0,0,1,0
1,36220,1681311940893,16,100,1,9,108,400,57,0,0,1,0
1,36221,1681311940910,17,99,1,9,108,400,150,0,0,1,0
1,36222,1681311940927,17,100,1,9,108,400,150,0,0,1,0
1,36223,1681311940943,16,99,0,9,108,400,57,0,0,1,0
1,36224,1681311940959,16,98,1,9,108,400,150,0,0,1,0
1,36225,1681311940975,16,98,0,9,108,400,67,0,1,1,0
1,36226,1681311940992,17,98,1,9,108,400,153,0,0,1,0
1,36227,1681311941008,16,98,0,9,108,400,60,0,0,1,0
1,36228,1681311941025,17,98,1,9,108,400,158,0,0,1,0
1,36229,1681311941041,16,98,0,9,108,400,62,0,0,1,0
1,36230,1681311941057,16,98,2,9,108,400,160,0,0,1,0
1,36231,1681311941073,16,99,0,9,108,400,62,0,0,1,0
1,36232,1681311941090,17,99,2,9,108,400,158,0,0,1,0
1,36233,1681311941108,18,100,1,9,108,400,158,0,0,1,0
1,36234,1681311941124,16,99,1,9,108,400,62,0,0,1,0
1,36235,1681311941140,16,98,1,9,108,400,158,0,0,1,0
1,36236,1681311941156,16,97,2,9,108,400,62,0,0,1,0
1,36237,1681311941173,17,98,1,9,108,400,158,0,0,1,0
1,36238,1681311941189,16,99,2,9,108,400,62,0,0,1,0
1,36239,1681311941205,16,100,0,9,108,400,158,0,0,1,0
1,36240,1681311941220,15,100,1,9,108,400,62,0,0,1,0
1,36241,1681311941236,16,100,1,9,108,400,158,0,0,1,0
1,36242,1681311941252,16,101,2,9,108,400,62,0,0,1,0
1,36243,1681311941268,16,101,0,9,108,400,158,0,0,1,0
1,36244,1681311941284,16,101,2,9,108,400,62,0,0,1,0
1,36245,1681311941300,16,101,0,9,108,400,158,0,0,1,0
1,36246,1681311941316,16,101,2,9,108,400,62,0,0,1,0
1,36247,1681311941332,16,100,0,9,108,400,158,0,0,1,0
1,36248,1681311941349,17,100,2,9,108,400,158,0,0,1,0
1,36249,1681311941365,16,99,0,9,108,400,59,0,0,1,0
1,36250,1681311941381,16,99,2,9,108,400,152,0,0,1,0
1,36251,1681311941398,17,100,0,9,108,400,59,0,0,1,0
1,36252,1681311941414,16,100,2,9,108,400,152,0,0,1,0
1,36253,1681311941430,16,100,0,9,108,400,59,0,0,1,0
1,36254,1681311941446,16,99,2,9,108,400,155,0,0,1,0
1,36255,1681311941462,16,100,0,9,108,400,59,0,0,1,0
1,36256,1681311941478,16,100,1,9,108,400,155,0,0,1,0
1,36257,1681311941495,17,100,1,9,108,400,59,0,0,1,0
1,36258,1681311941511,16,101,1,9,108,400,155,0,0,1,0
1,36259,1681311941527,16,100,0,9,108,400,59,0,0,1,0
1,36260,1681311941543,16,100,1,9,108,400,155,0,0,1,0
1,36261,1681311941561,18,100,0,9,108,400,155,0,0,1,0
1,36262,1681311941578,17,100,3,9,108,400,59,0,0,1,0
1,36263,1681311941595,17,101,0,9,108,400,155,0,0,1,0
1,36264,1681311941610,15,101,3,9,108,400,59,0,0,1,0
1,36265,1681311941626,16,101,1,9,108,400,155,0,0,1,0
1,36266,1681311941642,16,100,2,9,108,400,59,0,0,1,0
1,36267,1681311941658,16,100,0,9,108,400,155,0,0,1,0
1,36268,1681311941674,16,100,2,9,108,400,59,0,0,1,0
1,36269,1681311941690,16,100,0,9,108,400,152,0,0,1,0
1,36270,1681311941706,16,100,3,9,108,400,59,0,0,1,0
1,36271,1681311941723,17,101,0,9,108,400,152,0,0,1,0
1,36272,1681311941739,16,101,2,9,108,400,59,0,0,1,0
1,36273,1681311941755,16,101,0,9,108,400,152,0,0,1,0
1,36274,1681311941773,18,101,1,9,108,400,168,0,1,1,0
1,36275,1681311941789,16,101,1,9,108,400,59,0,0,1,0
1,36276,1681311941806,17,102,1,9,108,400,152,0,0,1,0
1,36277,1681311941822,16,102,0,9,108,400,59,0,0,1,0
1,36278,1681311941837,15,102,1,9,108,400,152,0,0,1,0
1,36279,1681311941854,17,102,0,9,108,400,59,0,0,1,0
1,36280,1681311941870,16,102,1,9,108,400,152,0,0,1,0
1,36281,1681311941886,16,102,0,9,108,400,59,0,0,1,0
1,36282,1681311941902,16,102,1,9,108,400,152,0,0,1,0
1,36283,1681311941918,16,102,0,9,108,400,59,0,0,1,0
1,36284,1681311941934,16,102,1,9,108,400,152,0,0,1,0
1,36285,1681311941952,18,102,0,9,108,400,152,0,0,1,0
1,36286,1681311941968,16,102,1,9,108,400,59,0,0,1,0
1,36287,1681311941985,17,101,0,9,108,400,152,0,0,1,0
1,36288,1681311942002,17,101,1,9,108,400,59,0,0,1,0
1,36289,1681311942017,15,101,1,9,108,400,152,0,0,1,0
1,36290,1681311942033,16,102,2,9,108,400,59,0,0,1,0
1,36291,1681311942049,16,102,0,9,108,400,152,0,0,1,0
1,36292,1681311942066,17,102,2,9,108,400,59,0,0,1,0
1,36293,1681311942082,16,102,0,9,108,400,152,0,0,1,0
1,36294,1681311942098,16,102,2,9,108,400,59,0,0,1,0
1,36295,1681311942114,16,102,0,9,108,400,152,0,0,1,0
1,36296,1681311942132,18,102,2,9,108,400,152,0,0,1,0
1,36297,1681311942148,16,102,0,9,108,400,59,0,0,1,0
1,36298,1681311942164,16,102,3,9,108,400,152,0,0,1,0
1,36299,1681311942180,16,103,0,9,108,400,59,0,0,1,0
1,36300,1681311942196,16,103,2,9,108,400,152,0,0,1,0
1,36301,1681311942212,16,103,0,9,108,400,59,0,0,1,0
1,36302,1681311942229,17,103,1,9,108,400,152,0,0,1,0
1,36303,1681311942245,16,103,0,9,108,400,59,0,0,1,0
1,36304,1681311942260,15,103,1,9,108,400,152,0,0,1,0
1,36305,1681311942276,16,103,0,9,108,400,59,0,0,1,0
1,36306,1681311942292,16,103,1,9,108,400,152,0,0,1,0
1,36307,1681311942308,16,103,0,9,108,400,59,0,0,1,0
1,36308,1681311942324,16,103,1,9,108,400,152,0,0,1,0
